Year,Value,SERIES
2017,98.8,Proportion of population covered by at least a 2G mobile network [9.c.1]
2017,83.1,Proportion of population covered by at least a 3G mobile network [9.c.1]
2018,98.8,Proportion of population covered by at least a 2G mobile network [9.c.1]
2018,83.1,Proportion of population covered by at least a 3G mobile network [9.c.1]
2019,98.1,Proportion of population covered by at least a 2G mobile network [9.c.1]
2019,83.1,Proportion of population covered by at least a 3G mobile network [9.c.1]
2020,96.9,Proportion of population covered by at least a 2G mobile network [9.c.1]
2020,95.8,Proportion of population covered by at least a 3G mobile network [9.c.1]
2020,67.7,Proportion of population covered by at least a 4G mobile network [9.c.1]
2021,96.9,Proportion of population covered by at least a 2G mobile network [9.c.1]
2021,95.8,Proportion of population covered by at least a 3G mobile network [9.c.1]
2021,67.7,Proportion of population covered by at least a 4G mobile network [9.c.1]
