Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2013,A,0,SI_POV_NAHC,,,,PT,,24.2
2013,A,0,SI_POV_NAHC,,,R,PT,,37.9
2013,A,0,SI_POV_NAHC,,,U,PT,,10.6
2013,A,0,SI_POV_NAHC,,M,,PT,,25.9
2013,A,0,SI_POV_NAHC,,F,,PT,,19.1
2017,A,0,SI_POV_NAHC,,,,PT,,23.4
2017,A,0,SI_POV_NAHC,,,R,PT,,39.5
2017,A,0,SI_POV_NAHC,,,U,PT,,7.8
2017,A,0,SI_POV_NAHC,,M,,PT,,25.8
2017,A,0,SI_POV_NAHC,,F,,PT,,17.6
2017,A,0,SI_POV_NAHC,10_o,,,PT,10_o,70.9
2013,A,0,SI_POV_NAHC,10_o,,,PT,10_o,70.7
2006,A,0,SI_POV_NAHC,10_o,,,PT,10_o,89.1
2017,A,0,SI_POV_NAHC,09_o,,,PT,09_o,54.8
2013,A,0,SI_POV_NAHC,09_o,,,PT,09_o,44.4
2006,A,0,SI_POV_NAHC,09_o,,,PT,09_o,72.9
2017,A,0,SI_POV_NAHC,08_o,,,PT,08_o,61.1
2013,A,0,SI_POV_NAHC,08_o,,,PT,08_o,50.4
2006,A,0,SI_POV_NAHC,08_o,,,PT,08_o,55.7
2017,A,0,SI_POV_NAHC,07_o,,,PT,07_o,26.8
2013,A,0,SI_POV_NAHC,07_o,,,PT,07_o,27.9
2006,A,0,SI_POV_NAHC,07_o,,,PT,07_o,34.0
2017,A,0,SI_POV_NAHC,06_o,,,PT,06_o,11.6
2013,A,0,SI_POV_NAHC,06_o,,,PT,06_o,14.8
2006,A,0,SI_POV_NAHC,06_o,,,PT,06_o,24.0
2017,A,0,SI_POV_NAHC,05_o,,,PT,05_o,12.6
2013,A,0,SI_POV_NAHC,05_o,,,PT,05_o,21.7
2006,A,0,SI_POV_NAHC,05_o,,,PT,05_o,17.8
2017,A,0,SI_POV_NAHC,04_o,,,PT,04_o,37.3
2013,A,0,SI_POV_NAHC,04_o,,,PT,04_o,33.8
2006,A,0,SI_POV_NAHC,04_o,,,PT,04_o,37.3
2017,A,0,SI_POV_NAHC,03_o,,,PT,03_o,2.5
2013,A,0,SI_POV_NAHC,03_o,,,PT,03_o,5.6
2006,A,0,SI_POV_NAHC,03_o,,,PT,03_o,13.5
2017,A,0,SI_POV_NAHC,02_o,,,PT,02_o,13.8
2013,A,0,SI_POV_NAHC,02_o,,,PT,02_o,18.8
2006,A,0,SI_POV_NAHC,02_o,,,PT,02_o,23.4
2017,A,0,SI_POV_NAHC,01_o,,,PT,01_o,21.1
2013,A,0,SI_POV_NAHC,01_o,,,PT,01_o,20.9
2006,A,0,SI_POV_NAHC,01_o,,,PT,01_o,22.9
2006,A,0,SI_POV_NAHC,,,,PT,,28.5
1999,A,0,SI_POV_NAHC,,,,PT,,39.5
1992,A,0,SI_POV_NAHC,,,,PT,,51.7
2020,A,0,SI_POV_NAHC,,,,PT,,25.5
