Year,SERIES,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,_L_GH_040c01_01,,_L_GH_PUBLIC,RO,31.0
2017,_L_GH_040c01_01,,_L_GH_PRIVATE,RO,175.0
2018,_L_GH_040c01_01,,_L_GH_PUBLIC,RO,28.0
2018,_L_GH_040c01_01,,_L_GH_PRIVATE,RO,161.0
2019,_L_GH_040c01_01,,_L_GH_PUBLIC,RO,27.0
2019,_L_GH_040c01_01,,_L_GH_PRIVATE,RO,144.0
2017,_L_GH_040c01_02,ISCED11_0,_L_GH_PUBLIC,RO,95.0
2017,_L_GH_040c01_02,ISCED11_02,_L_GH_PUBLIC,RO,46.0
2017,_L_GH_040c01_02,ISCED11_1,_L_GH_PUBLIC,RO,39.0
2017,_L_GH_040c01_02,ISCED11_2,_L_GH_PUBLIC,RO,16.0
2017,_L_GH_040c01_02,,_L_GH_PUBLIC,RO,31.0
2018,_L_GH_040c01_02,ISCED11_0,_L_GH_PUBLIC,RO,89.0
2018,_L_GH_040c01_02,ISCED11_02,_L_GH_PUBLIC,RO,39.0
2018,_L_GH_040c01_02,ISCED11_1,_L_GH_PUBLIC,RO,35.0
2018,_L_GH_040c01_02,ISCED11_2,_L_GH_PUBLIC,RO,16.0
2018,_L_GH_040c01_02,,_L_GH_PUBLIC,RO,28.0
2019,_L_GH_040c01_02,ISCED11_0,_L_GH_PUBLIC,RO,85.0
2019,_L_GH_040c01_02,ISCED11_02,_L_GH_PUBLIC,RO,37.0
2019,_L_GH_040c01_02,ISCED11_1,_L_GH_PUBLIC,RO,33.0
2019,_L_GH_040c01_02,ISCED11_2,_L_GH_PUBLIC,RO,15.0
2019,_L_GH_040c01_02,,_L_GH_PUBLIC,RO,27.0
2017,_L_GH_040c01_02,ISCED11_0,_L_GH_PRIVATE,RO,355.0
2017,_L_GH_040c01_02,ISCED11_02,_L_GH_PRIVATE,RO,387.0
2017,_L_GH_040c01_02,ISCED11_1,_L_GH_PRIVATE,RO,217.0
2017,_L_GH_040c01_02,ISCED11_2,_L_GH_PRIVATE,RO,59.0
2017,_L_GH_040c01_02,,_L_GH_PRIVATE,RO,175.0
2018,_L_GH_040c01_02,ISCED11_0,_L_GH_PRIVATE,RO,319.0
2018,_L_GH_040c01_02,ISCED11_02,_L_GH_PRIVATE,RO,333.0
2018,_L_GH_040c01_02,ISCED11_1,_L_GH_PRIVATE,RO,202.0
2018,_L_GH_040c01_02,ISCED11_2,_L_GH_PRIVATE,RO,52.0
2018,_L_GH_040c01_02,,_L_GH_PRIVATE,RO,161.0
2019,_L_GH_040c01_02,ISCED11_0,_L_GH_PRIVATE,RO,273.0
2019,_L_GH_040c01_02,ISCED11_02,_L_GH_PRIVATE,RO,264.0
2019,_L_GH_040c01_02,ISCED11_1,_L_GH_PRIVATE,RO,176.0
2019,_L_GH_040c01_02,ISCED11_2,_L_GH_PRIVATE,RO,48.0
2019,_L_GH_040c01_02,,_L_GH_PRIVATE,RO,144.0
2016,SE_TRA_GRDL,ISCED11_0,_L_GH_PUBLIC,PT,33.1
2016,SE_TRA_GRDL,ISCED11_0,_L_GH_PRIVATE,PT,4.8
2017,SE_TRA_GRDL,ISCED11_0,_L_GH_PUBLIC,PT,30.4
2017,SE_TRA_GRDL,ISCED11_0,_L_GH_PRIVATE,PT,6.7
2018,SE_TRA_GRDL,ISCED11_0,_L_GH_PUBLIC,PT,34.4
2018,SE_TRA_GRDL,ISCED11_0,_L_GH_PRIVATE,PT,7.7
2019,SE_TRA_GRDL,ISCED11_0,_L_GH_PUBLIC,PT,38.5
2019,SE_TRA_GRDL,ISCED11_0,_L_GH_PRIVATE,PT,8.1
2016,SE_TRA_GRDL,ISCED11_02,_L_GH_PUBLIC,PT,66.0
2016,SE_TRA_GRDL,ISCED11_02,_L_GH_PRIVATE,PT,5.7
2017,SE_TRA_GRDL,ISCED11_02,_L_GH_PUBLIC,PT,65.1
2017,SE_TRA_GRDL,ISCED11_02,_L_GH_PRIVATE,PT,6.9
2018,SE_TRA_GRDL,ISCED11_02,_L_GH_PUBLIC,PT,75.2
2018,SE_TRA_GRDL,ISCED11_02,_L_GH_PRIVATE,PT,8.3
2019,SE_TRA_GRDL,ISCED11_02,_L_GH_PUBLIC,PT,85.3
2019,SE_TRA_GRDL,ISCED11_02,_L_GH_PRIVATE,PT,9.7
2016,SE_TRA_GRDL,ISCED11_1,_L_GH_PUBLIC,PT,78.0
2016,SE_TRA_GRDL,ISCED11_1,_L_GH_PRIVATE,PT,9.3
2017,SE_TRA_GRDL,ISCED11_1,_L_GH_PUBLIC,PT,76.0
2017,SE_TRA_GRDL,ISCED11_1,_L_GH_PRIVATE,PT,10.3
2018,SE_TRA_GRDL,ISCED11_1,_L_GH_PUBLIC,PT,83.8
2018,SE_TRA_GRDL,ISCED11_1,_L_GH_PRIVATE,PT,11.6
2019,SE_TRA_GRDL,ISCED11_1,_L_GH_PUBLIC,PT,87.6
2019,SE_TRA_GRDL,ISCED11_1,_L_GH_PRIVATE,PT,12.5
2016,SE_TRA_GRDL,ISCED11_2,_L_GH_PUBLIC,PT,89.6
2016,SE_TRA_GRDL,ISCED11_2,_L_GH_PRIVATE,PT,18.7
2017,SE_TRA_GRDL,ISCED11_2,_L_GH_PUBLIC,PT,88.1
2017,SE_TRA_GRDL,ISCED11_2,_L_GH_PRIVATE,PT,19.3
2018,SE_TRA_GRDL,ISCED11_2,_L_GH_PUBLIC,PT,91.5
2018,SE_TRA_GRDL,ISCED11_2,_L_GH_PRIVATE,PT,21.3
2019,SE_TRA_GRDL,ISCED11_2,_L_GH_PUBLIC,PT,94.2
2019,SE_TRA_GRDL,ISCED11_2,_L_GH_PRIVATE,PT,21.7
2016,SE_TRA_GRDL,ISCED11_3,_L_GH_PUBLIC,PT,90.6
2016,SE_TRA_GRDL,ISCED11_3,_L_GH_PRIVATE,PT,49.2
2017,SE_TRA_GRDL,ISCED11_3,_L_GH_PUBLIC,PT,90.1
2017,SE_TRA_GRDL,ISCED11_3,_L_GH_PRIVATE,PT,51.8
2018,SE_TRA_GRDL,ISCED11_3,_L_GH_PUBLIC,PT,91.8
2018,SE_TRA_GRDL,ISCED11_3,_L_GH_PRIVATE,PT,49.3
2019,SE_TRA_GRDL,ISCED11_3,_L_GH_PUBLIC,PT,88.6
2019,SE_TRA_GRDL,ISCED11_3,_L_GH_PRIVATE,PT,53.2
