Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,AGE,URBANISATION,DISABILITY_STATUS,UNIT_MEASURE,GeoCode,Value
2017,A,0,SL_TLF_UEMDIS,,,,,_L_GH_SPEECH,PT,,5.0
2017,A,0,SL_TLF_UEMDIS,,,,,_L_GH_SIGHT,PT,,24.0
2017,A,0,SL_TLF_UEMDIS,,,,,_L_GH_PHYSICAL,PT,,17.0
2017,A,0,SL_TLF_UEMDIS,,,,,_L_GH_INTELLECTUAL,PT,,5.0
2017,A,0,SL_TLF_UEMDIS,,,,,_L_GH_HEARING,PT,,19.0
2017,A,0,SL_TLF_UEMDIS,,,,,_L_GH_EMOTIONAL,PT,,30.0
2013,A,0,SL_TLF_UEM,,,,,,PT,,5.2
2015,A,0,SL_TLF_UEM,,,,,,PT,,11.9
2017,A,0,SL_TLF_UEM,,,,,,PT,,8.4
2013,A,0,SL_TLF_UEM,,M,,,,PT,,4.8
2015,A,0,SL_TLF_UEM,,M,,,,PT,,11.1
2017,A,0,SL_TLF_UEM,,M,,,,PT,,7.5
2013,A,0,SL_TLF_UEM,,F,,,,PT,,5.5
2015,A,0,SL_TLF_UEM,,F,,,,PT,,12.5
2017,A,0,SL_TLF_UEM,,F,,,,PT,,9.2
2013,A,0,SL_TLF_UEM,,,,U,,PT,,6.5
2015,A,0,SL_TLF_UEM,,,,U,,PT,,13.4
2017,A,0,SL_TLF_UEM,,,,U,,PT,,11.4
2013,A,0,SL_TLF_UEM,,M,,U,,PT,,6.1
2015,A,0,SL_TLF_UEM,,M,,U,,PT,,13.2
2017,A,0,SL_TLF_UEM,,M,,U,,PT,,10.7
2013,A,0,SL_TLF_UEM,,F,,U,,PT,,6.9
2015,A,0,SL_TLF_UEM,,F,,U,,PT,,13.6
2017,A,0,SL_TLF_UEM,,F,,U,,PT,,12.0
2013,A,0,SL_TLF_UEM,,,,R,,PT,,3.9
2015,A,0,SL_TLF_UEM,,,,R,,PT,,10.2
2017,A,0,SL_TLF_UEM,,,,R,,PT,,5.2
2013,A,0,SL_TLF_UEM,,M,,R,,PT,,3.6
2015,A,0,SL_TLF_UEM,,M,,R,,PT,,9.0
2017,A,0,SL_TLF_UEM,,M,,R,,PT,,4.1
2013,A,0,SL_TLF_UEM,,F,,R,,PT,,4.1
2015,A,0,SL_TLF_UEM,,F,,R,,PT,,11.3
2017,A,0,SL_TLF_UEM,,F,,R,,PT,,6.2
2013,A,0,SL_TLF_UEM,,,Y15T24,,,PT,,10.9
2017,A,0,SL_TLF_UEM,,,Y15T24,,,PT,,18.4
2013,A,0,SL_TLF_UEM,,M,Y15T24,,,PT,,10.2
2017,A,0,SL_TLF_UEM,,M,Y15T24,,,PT,,17.9
2013,A,0,SL_TLF_UEM,,F,Y15T24,,,PT,,11.7
2017,A,0,SL_TLF_UEM,,F,Y15T24,,,PT,,19.1
